Tue Mar 26 14:56:33 2024    program.prof

         2897415 function calls (2871004 primitive calls) in 375.989 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38664    0.031    0.000    0.190    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:883(after_cancel)
        8    0.000    0.000    0.190    0.024 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_schedule.py:42(update_licks_and_TTC_actual)
        1    0.000    0.000    0.189    0.189 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.185    0.185 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
    42081    0.184    0.000    0.184    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      800    0.009    0.000    0.184    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:1897(_setitem_with_indexer_split_path)
        1    0.000    0.000    0.177    0.177 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\backend_bases.py:1(<module>)
     4252    0.013    0.000    0.167    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1470(get_valid_values)
    27416    0.106    0.000    0.163    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:102(_cnfmerge)
      800    0.010    0.000    0.156    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:2062(_setitem_single_column)
      597    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      597    0.148    0.000    0.148    0.000 {built-in method marshal.loads}
      597    0.002    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      715    0.006    0.000    0.140    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.139    0.139 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\__init__.py:1(<module>)
        1    0.000    0.000    0.138    0.138 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\groupby\__init__.py:1(<module>)
        1    0.000    0.000    0.137    0.137 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\groupby\generic.py:1(<module>)
        1    0.000    0.000    0.136    0.136 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\axes\__init__.py:1(<module>)
      800    0.008    0.000    0.135    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\internals\managers.py:1279(column_setitem)
        1    0.000    0.000    0.131    0.131 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\numpy\__init__.py:1(<module>)
      693    0.001    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      693    0.003    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     7305    0.076    0.000    0.124    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\inspect.py:867(cleandoc)
        1    0.000    0.000    0.119    0.119 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\frame.py:1(<module>)
     7315    0.007    0.000    0.115    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\inspect.py:848(getdoc)
     1076    0.010    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.113    0.113 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\text.py:1(<module>)
253823/253821    0.085    0.000    0.109    0.000 {built-in method builtins.isinstance}
      597    0.103    0.000    0.103    0.000 {built-in method io.open_code}
